drink_name,drink_type,drink_image,drink_abv,drink_producer,drink_tasting_notes
Flor de Amaras,Cocktail,,,Kelly McCarthy,
The Bittered Valley,Cocktail,,,Nik Virrey,
OH Snap!,Cocktail,,,Kevin Diedrich,Junipero Gin 20th Anniversary Signature Cocktail
Wabash Avenue Sour,Cocktail,,,Phillip Ricafort,
Ritz Cocktail,Cocktail,,,Dale DeGroff,
King's Snap the Chocolate Out of You,Cocktail,,,Ian Julian,
Happiness,Cocktail,,,Danny Louie,Junipero Gin 20th Anniversary Signature Cocktail
Fourth Generation,Cocktail,,,Ken Luciano,
West Coast Punch,Cocktail,,,Caterina Miltenberger,
Mille Miglia,Cocktail,,,Caterina Miltenberger,
Paradiso Sun,Cocktail,,,Caterina Miltenberger,
Lux Orchard Lemonade,Cocktail,,,Caterina Miltenberger,
Cut & Rum,Cocktail,,,Jose Pereiro,
The King's Spring Daisy,Cocktail,,,,
The King's Ginger Spiced Punch,Cocktail,,,,
War of the Roses,Cocktail,,,Kevin Diedrich,
The King's Medicine,Cocktail,,,Matt Grippo,
A.Nise,Cocktail,,,Kate KaiKaew,
Down the Rabbit Hole,Cocktail,,,Elmer Mejicano,
Peace Daiquiri,Cocktail,,,Kate Grutman,
The King's Autumn Cobbler,Cocktail,,,,
The Mad King,Cocktail,,,,
The Robert Baratheon,Cocktail,,,,Photo credit: liquor.com
Lux Shandy,Cocktail,,,Naomi Levy,"First served at Tales of the Cocktail 2014 ""Luxardo CAP Lunch"""
Fiona Graham,Cocktail,,,Chris Morris,
Le Sang et Sable,Cocktail,,,Toby Cecchini,Photo credit: liquor.com
Amaretto Sour BV-Style,Cocktail,,,Scott Baird,"Cocktail appeared in <a href=""http://imbibemagazine.com/pig-punch-cocktail-series-amaretto-sour/"" target=""_blank"" rel=""nofollow"">IMBIBE EVENTS + PROMOTIONS PIG N PUNCH JUNE 15, 2016</a>"
Julia's Child,Cocktail,,,Calvin Marty,
The Bitter King,Cocktail,,,,
La Maracuja,Cocktail,,,Luis Hernandez,
San Francisco Strong (Skrong),Cocktail,,,Matt Grippo,
Nuestra Julep,Cocktail,,,David Ruiz,Featured on the Padrecito cocktail menu august (fall) 2015
Pisco Punch,Cocktail,,,,The original SF Pisco Punch recipe from the 1800s is made with a pisco from Italia grapes known as “Rosa del Peru”.
La Batida Loca,Cocktail,,,Paul Sauter,
Neighborhood Negroni,Cocktail,,,Tony Abou-Ganim,Photo credit: Tim Turner (The Modern Mixologist: Contemporary Classic Cocktails)
Rothes Roy,Cocktail,,,,
Angel's Face,Cocktail,,,Jay Zimmerman,Photo credit: liquor.com
Kiss,Cocktail,,,Brian Miller,Photo credit: liquor.com
The Cappa,Cocktail,,,Franky Marshall,
The Inside Job,Cocktail,,,Jared Schubert,Photo credit: liquor.com
The Sun Also Rises,Cocktail,,,Jim Meehan,
Trato Hecho,Cocktail,,,Phil Ward,Photo credit: liquor.com
Nick & Janae,Cocktail,,,David Ruiz,
On the Wings of Eagles,Cocktail,,,Matthew Polzin,Photo credit: liquor.com
Mule Pigeon,Cocktail,,,Ryan Chetiyawardana,
Cuba Liberation,Cocktail,,,,
Off the Radar,Cocktail,,,,
Maraschino Side Car,Cocktail,,,Caterina Miltenberger,
The Royal Buck,Cocktail,,,,
Rx Hot Toddy,Cocktail,,,Christopher Buono,
Spanish G&T,Cocktail,,,Natasha Bahrami,
Chilcano,Cocktail,,,,
Kir Royale,Cocktail,,,,
Kir,Cocktail,,,,
Citrus Agave Caipirinha,Cocktail,,,,
Bermuda Highball,Cocktail,,,,"<a href=""http://www.townandcountrymag.com/leisure/drinks/g2920/cognac-cocktails/?slide=2"" target=""_blank"">www.townandcountrymag.com</a>"
Lux Cherry Sparkler,Cocktail,,,,
French Maid,Cocktail,,,Jim Meehan,
Karlsson's Mule,Cocktail,,,,
Creek Ran Dry,Cocktail,,,Brian Means,
Mandrake,Cocktail,,,Brian Means,
Redondo Beach,Cocktail,,,Morgan Schick,
The Tahoe Toddy,Cocktail,,,Jourdan Reinhart,
Pink Ribbon,Cocktail,,,Kate Grutman,
Short Round II,Cocktail,,,Brian Means,
A Gift from Zara,Cocktail,,,Rebecca Burkart,
Gin Made Me Do It,Cocktail,,,Karri Cormican,Junipero Gin 20th Anniversary Signature Cocktail
Clearly Bitter,Cocktail,,,Linda Salinas,
Short Round,Cocktail,,,,
Ypioca Yellow Card,Cocktail,,,Scott Brody,
Buzzard's Bay,Cocktail,,,Morgan Schick,
Kick the Pigeon,Cocktail,,,,
Croatia Firing Squad,Cocktail,,,Ken Luciano,
The King's Ginger Summer Cup,Cocktail,,,,
Pink Pigeon Punch,Cocktail,,,,
Kentucky Garrigue,Cocktail,,,,"*Strawberry, Black Pepper Balsamic Shrub
1.5 cups strawberries
0.5 cups sugar
2 tsp black peppercorns
0.25 cups balsamic vinegar
0.25 cups champagne vinegar

Combine all ingredients except vinegar in a container and let sit overnight at room temperature.
The sugar should be absorbed by the strawberry juice.
The next day, puree with a blender and add any additional vinegar to taste.
Strain the shrub through chinois to remove any large leftover chunks.
Label and date and keep in the fridge."
Bitter Valencia,Cocktail,,,Justin Ware,
Chilcano (variation),Cocktail,,,Marvin Allen,Featured on The Tales of the Cocktail 2016 Carousel Bar Menu
Little Ground Tapper,Cocktail,,,Claire & Chad,Featured on Speed Rack 2015 SF Speed City Takeover Baseball Card.
Prince of Humbugs,Cocktail,,,Morgan Schick ,
The Big Picture,Cocktail,,,Nate Jimenez,
The King's Squeeze,Cocktail,,,,
English Harbour Colada,Cocktail,,,,
Le Femme Nikita,Cocktail,,,Joaquin Simo,
1880's Americana,Cocktail,,,,"Cocktail Inspiration: The inspiration was to use ingredients that were created or changed in that era. The 1880's saw Coca Cola born and the reformulation of Amer Picon along with the push for American Whiskies.

This cocktail was used at Tales of the Cocktail 2013."
Luxardo Maraschino Simple Spritz,Cocktail,,,,
Aperitivo Spritz,Cocktail,,,,
La Chiara,Cocktail,,,Pasha Morshedi,
Luxardo Ice Cream Float,Cocktail,,,,
Nellie Fer' Toddy,Cocktail,,,Robert Krueger,Featured in The King's Ginger Winter Warmer Program OND 2015
Almond Crusta,Cocktail,,,Kevin Diedrich,Photo credit: Bestia
Mexico Mule,Cocktail,,,Benedict Simpson,
Hidarite,Cocktail,,,,Japanese riff on a Left Hand cocktail
Bird is the Word,Cocktail,,,,*Last Word variation
Jammie Dodger Fizz,Cocktail,,,Laura Maddox,
Rudolph's Rose,Cocktail,,,Brian Means,
Heard It Through The Grapevine,Cocktail,,,Jeramy Campbell,
Snow Bunny,Cocktail,,,Brian Means,
A Love Song,Cocktail,,,Russell Davis,
Drops of Jupiter,Cocktail,,,Russell Davis,"All ingredients should be kept at room temperature.

Rich wild sage honey syrup: 2 parts local unfilteres, unprocessed, raw honey with 1 part water
"
Mother Superior,Cocktail,,,Alex Quesada,Junipero Gin 20th Anniversary Signature Cocktail
Round Pond Aperitif,Cocktail,,,Alan Kropf,
Across The Pond,Cocktail,,,Alan Kropf,
Fizzy Rhubarb Mule,Cocktail,,,Tom Cavazos,
Charente Royale,Cocktail,,,Kevin Diedrich,
Peachy Keane,Cocktail,,,Bonnie Wilson,
Hopped-Up Mary,Cocktail,,,Russell Davis,
The Palace Cellar,Cocktail,,,Michael Esposito,
Swedish Royal,Cocktail,,,Sean McClure,"Vermouth: Vermouth, like wine goes bad if it has been open for a while. Also it's best to keep it in the refrigerator after it has been open to keep it fresh. Vermouth will last about 3-4 months. There are many producers of vermouth, all varying in style and flavor, so we would recommend trying a couple out and finding which you prefer. It's also fun to taste the difference. This goes for both dry (French) and sweet (Italian). Depending on the type you use, you might want to adjust the quantities used in your cocktail to your liking.

Apricot brandy: There are many brands out there. We like to use the Rothman & Winter. Unlike other fruit liqueurs that can be cloyingly sweet, the Rothman & Winter delivers a sweetness and bouquet expected when enjoying a fresh apricot.

This is a nice cocktail for vodka martini drinkers that want a little twist on their cocktail. It's essentially a perfect martini made with vodka and apricot brandy."
Gold Spritz,Cocktail,,,Sean McClure,
La Madrugada,Cocktail,,,Enrique Sanchez,
The Rickenbacker,Cocktail,,,,
The Douglas Tilden,Cocktail,,,Mo Hodges & Brian Felley,Junipero Gin 20th Anniversary Signature Cocktail
Willow,Cocktail,,,Carl Wenger,
Sahara Glowing Heart,Cocktail,,,John Codd,Junipero Gin 20th Anniversary Signature Cocktail
Nori & Islay,Cocktail,,,Anthony Parks,Junipero Gin 20th Anniversary Signature Cocktail
You Bet Your Ascot,Cocktail,,,Jason Rager,
Speyside Orchard,Cocktail,,,Brian MacGregor,
Chippendale Rosetone,Cocktail,,,,
La Hops Vie,Cocktail,,,,
Cap't of the Seven Seas,Cocktail,,,Tyler Chauvin,
Boko Buku,Cocktail,,,Tyler Chauvin,
Chapman Cobbler,Cocktail,,,Caitlin Laman,Photo credit: Allison Webber
Baile de Verano,Cocktail,,,Tyler Chauvin,
Peter Pumpkin,Cocktail,,,John Weyrich,
A Botanical Garden,Cocktail,,,Danny Louie,*Fresh strawberry juice with xanthan gum for texture and mouthfeel: Set your digital scale to grams. Juice a pint of strawberries. Weigh the rendered liquid from the strawberries. Add .01% grams of xanthan gum to your total weight of rendered liquid and mix with an immersion blender. Fine strain the liquid.
The Bossa Nova,Cocktail,,,Chris Lane,
The Monte Rua,Cocktail,,,,Luxardo & Ca'Secco PR partnership Fall 2015
See ya Amaro!,Cocktail,,,Lynnette Marrero,*Diluted 2:1 water
Rose Sangria,Cocktail,,,Lynnette Marrero,
White Tie,Cocktail,,,Robby Cook,
The Italian Diplomat,Cocktail,,,Hal Brock,
Bunny Poison,Cocktail,,,,
See You T'Amaro,Cocktail,,,Jon Morales,
Cut To The Chase,Cocktail,,,,
The Lover's Quarrel ,Cocktail,,,Russell Davis,
Hophead Dirty Martini,Cocktail,,,,
Newton's Theory,Cocktail,,,Brian Means,
West Coast Vesper,Cocktail,,,Russell Davis,
Hophead Old Fashioned,Cocktail,,,,
Bacio Romana,Cocktail,,,Harold Madison,
3 Degrees,Cocktail,,,,
Jack Cherry Sour (2001 Remix),Cocktail,,,Russell David,
Spring Forward,Cocktail,,,Kim Rosselle,
Three Flips,Cocktail,,,,
Buenaventura,Cocktail,,,Matt Solario,
Nieux Carré,Cocktail,,,Sean McClure,"This cocktail is a spin on a classic cocktail called the ""Vieux Carré"" or ""Old Square"". The original cocktail was created by a bartender at The Hotel Monteleone in New Orleans. Though this drink may have been derived from a traditional vermouth cocktail created in the mid-1800s, many people who encounter the Vieux Carré today will equate it to a Manhattan variation, served on the rocks.

This new or ""Nieux"" version is a little nuttier and lighter in body. The nutty flavors of the sherry brandy really play off the savory earthy notes of the Karlsson's Gold Vodka. Enjoy this cocktail with some cheese or as an after dinner drink. It is perfect in front of a fireplace."
L.E.S. Is More,Cocktail,,,Sean McClure,"This is a perfect spring or summer cocktail. The Esprit de June is a product that offers a touch of floral complexity. The brightness of the lemon really works well with the floral notes of the Esprit de June.

The name is a play on words stating that less is more or (L.E.S. is more). The L.E.S. is an abbreviation for two things. First being Lower East Side as it is a NYC inspired cocktail. Second being Lemon, Esprit de June, and Seltzer. The three ingredients used in the cocktail to complement the Karlsson's Vodka."
La Perle de Verre,Cocktail,,,Christa Havican,
A Tall Tell,Cocktail,,,Brian Means,
Cut and Run,Cocktail,,,,"This can be served individually, but can also be made in to a punch and just served over one large block of ice. Just garnish with lots of lemon wheels, mint leaves and blackberries."
The Stand By,Cocktail,,,Vince Toscano,
Second City Sour,Cocktail,,,Patrick Poelvoorde,
California's Callin',Cocktail,,,Jeff Hollinger,
End of Winter,Cocktail,,,Russell Davis,
Hopped-Up Mule,Cocktail,,,Jeff Hollinger,
Bay City Shandy,Cocktail,,,,
San Fran Shandy,Cocktail,,,,
West Bank,Cocktail,,,Claire Sprouse,
Hotaling White Manhattan,Cocktail,,,,
Coffey Grain Manhattan,Cocktail,,,,
Shadowcat,Cocktail,,,Conal Nielsen,
San Francisco Harvest,Cocktail,,,Megan Daniel,Junipero Gin 20th Anniversary Signature Cocktail
Negroni D'Amore,Cocktail,,,Jeff Faile,Photo credit: Brian Oh
Radice Amara,Cocktail,,,Elyse Blechman,
Don't Rock the Boat Punch,Cocktail,,,Kevin Martin,
Miyagikyo Kick,Cocktail,,,Brian Quinn,http://www.foodrepublic.com/2014/11/07/miyagikyo-kick-cocktail-recipe
King's Toddy,Cocktail,,,Kevin Martin,
Picadilly,Cocktail,,,,
Elgin Elixir,Cocktail,,,Alan Kropf,
The Canevari Cocktail,Cocktail,,,Jeff Kinder,
Erasmus' Revenge,Cocktail,,,Keli Rivers,
The Sparkler,Cocktail,,,Laurie Sheddan,
Shroud of the Inca,Cocktail,,,Arien Chabolla,
New Beginnings,Cocktail,,,Richard Bailey,
Fuji-La,Cocktail,,,Qwesha Byrd,
The Cliffdiver,Cocktail,,,,*Ice: Bar Ice & Vintage Ice
Irish Goodbye,Cocktail,,,Ari & Micah Wilder,*this drink was served at Portland Cocktail Week 2013
Beachcomber,Cocktail,,,,Photo credit: Roger Kamholz
Old Tom and The Sea,Cocktail,,,Kelly McCarthy,
Salty Swede,Cocktail,,,,Play around with different kinds of salt. The salty swede uses yuzu salt.
The Last Tango,Cocktail,,,Kim Rosselle,Junipero Gin 20th Anniversary Signature Cocktail
Pink & Black,Cocktail,,,,
Pink & Ginger,Cocktail,,,,
A Regal Air ,Cocktail,,,Amy Lewis ,
King's Mule,Cocktail,,,Daniel Romero,
Caipirinha,Cocktail,,,,
Bubbly Bird,Cocktail,,,Kate Grutman,
Framboise de Pigeon,Cocktail,,,Cristina Bini,*Simple syrup is infused with basil leaves and cherry tomato confit muddled.
Far From the Tree,Cocktail,,,Brian Means,
Luxardo Sour,Cocktail,,,Adam Fortuna,
The Molino,Cocktail,,,,
The King's Egg Nog,Cocktail,,,,
White Walker Flip,Cocktail,,,,
Hibiscus Pisco Sour,Cocktail,,,Naren Young,
Lux Japanese Lemonade,Cocktail,,,Carlo Splendorini,
Flip and Flight,Cocktail,,,Ryan Chetiyawardana,
Dry Mauritian Sour,Cocktail,,,Ryan Chetiyawardana,
Platonic Snuggle,Cocktail,,,Natasha David,
The Brightside,Cocktail,,,Brian Floyd,
The King's Froth & Frizz,Cocktail,,,Jupiter Olympus,
The Queen's A Redhead,Cocktail,,,,
Delicious Sour,Cocktail,,,Ken Luciano,
Jalapeño Sour,Cocktail,,,Kevin Diedrich,
Hanny's Hot Apple Toddy,Cocktail,,,St. John Frizell,
The Alpine Mist,Cocktail,,,Tineke Triggs,"Cocktail created by interior designer contest winner, Tineke Triggs."
Division Bell,Cocktail,,,Phil Ward,Photo credit: Tina Rupp
Golden Gun,Cocktail,,,,
Grown-Up Shirley Temple,Cocktail,,,,
Japanese Cocktail,Cocktail,,,,Photo credit: seriouseats.com
Vinterpäls,Cocktail,,,Sean McClure,"This is a nice simple winter warmer that will hit the spot after a nice dinner. Vinterpäls is the Swedish word for winter jacket. When we first made this, we wanted to be up in the mountains at a ski resort in a hot tub..."
A Southern Jackass,Cocktail,,,Julian Miller,
Mayan Sacrifice Champagne Cocktail,Cocktail,,,,
Pacific Kick,Cocktail,,,,Photo credit: liquor.com
Citrus Quo (Adapted),Cocktail,,,Francesco Lafranconi,"Adapted from Francesco Lafranconi's recipe in the Luxardo cocktail book. He originally called for Luxardo Dry Gin, which we have replaced with No.3 London Dry Gin."
The Mayan Premonition,Cocktail,,,,
Club Med,Cocktail,,,Francesco Lafranconi,
Pisco Sour,Cocktail,,,,
Jamaica Paloma,Cocktail,,,Caitlin Laman,"*1:1 sugar (raw) to water, macerating a handful of basil flowers and two handfuls of dried jamaica flowers to each 2L of water."
Ypioca Chile Punch,Cocktail,,,Lauren Sanchez,"""Inspiration - let's just say I took creative license with a classic caipirinha recipe.""
- Lauren Sanchez"
Prata Punch,Cocktail,,,Lauren Sanchez,
Engaged and Cant-Aloupe,Cocktail,,,Brian Van Flandern,Featured on Extra TV June 2016
Mauritian Made,Cocktail,,,,
Hotaling Old Tom Gin,Cocktail,,,Enrique Sanchez,
Hotaling Seaside Shandy,Cocktail,,,Jeff Hollinger,
Blind Luck,Cocktail,,,Andrew Grala,
The Naughty & Nice,Cocktail,,,Sarah Manowitz,
The King's Cranberry Sauce,Cocktail,,,,
Mexican Sazerac,Cocktail,,,,
Roasted Cherry Colada,Cocktail,,,,http://www.saveur.com/roasted-cherries-recipe
Karlsson's Kold Brew,Cocktail,,,Sean McClure,"Coffee-Infused Karlsson's Gold Vodka (yield- 750 ml.):

Ingredients & Equipment
- 1 750 ml. Bottle Karlsson's Gold vodka
- .75 c. Coffee beans
- French press
- Coffee grinder

Instructions
Grind the coffee beans and add them to the French press. Pour in the vodka and press. Let steep at room temperature for 12-24 hours. Strain out the coffee grounds and store in a sealed container in the refrigerator.

---

*Cardamom Syrup (yield- 1 pt.):

Ingredients
- .5 c. Whole green cardamom pods
- 1 lb. Granulated sugar
- 2 c. Water

Instructions
In a 1 qt. saucepot bring the water and sugar to a boil. Once boiling add the cardamom pods and remove from the heat. Let steep 30 minutes and strain the cardamom pods out using a fine mesh sieve. Store in a covered container in the refrigerator. It should keep for a while in the fridge.

---

**Coffee Soy Milk (yield- 1 c.):

Ingredients
- 8 oz. Soy mik
- 1 oz. Simple syrup
- 2 Tbsp. Espresso powder

Instructions
Blend the two ingredients until the espresso powder is completely dissolved."
Root Down,Cocktail,,,Sean McClure,"Root-Infused Karlsson's Gold Vodka:

Ingredients & Equipment
- 5 750 ml. Bottles Karlsson's Gold Vodka
- 5 oz. Sarsaparilla (Can be purchased at Kalustyan's)
- 5 oz. Sassafras (Can be purchased at Kalustyan's)
- 2.5 oz. White birch bark (Can be purchased at Kalustyan's)
- 2.5 oz. Licorice root (Can be purchased at Kalustyan's)
- 5 l. Barrel from Tuthilltown distillery
- Spice grinder
- Cheesecloth
- 10 qt. Non-reactive sealable container
- Fine mesh sieve

Instructions
Soak the barrel in water for 24 hours to swell the wood staves and to seal the barrel. (If you put liquid into a dry barrel it will leak.)
Rinse the sarsaparilla, sassafras, white birch bark and licorice root in cold water and lay out on parchment paper to dry. Once dry roughly grind the ingredients using a spice grinder and add them to a 10 qt. sealable non-reactive container. Pour the vodka into the container (reserve the bottles), cover and let infuse for 6 hours shaking every hour. Once fully infused strain out the roots and barks out using a fine mesh sieve and cheesecloth.
Using a funnel fill the barrel with the infusion and plug the barrel. Let infuse for 1-2 months tasting until desired oak flavor is achieved. Note: The barrel can be used several times but the aging time will take longer the more you use it. For example the second time you might need to age it for 2-3 months. Once desired oak age is achieved remove the infusion from the barrel and pour it back into the bottles There will be less then what you started with due to evaporation and soaking. Use as a base for cocktails. It makes an interesting old-fashioned."
